Channel,file generation,SALEDATE,NO.,BRAN_NAME,NO2,EAN,PRODUCT DES,SHORT_DESC,Region,Category,ITEM_DESC_SECONDARY,GROUP2,BRAND TBASE,COMP ,COLOR_DESC,SIZE_DESC,Sales QTY,SALRRP,TAX,SALNOT,SALMRP
Eomm,04-02-2025 10:43,01-Apr-25,1231,LS-Phoenix Marketcity-Lucknow,1002,8922,ELASTIC WAIST BAND CHINO SHORTS,APP 001,North,Topwear,Tshirt,Woven,A1,A2,GREEN,36,1,1799,192.76,1606.24,1799
Eomm,04-02-2025 10:43,01-Apr-25,1232,Runwal - Ghatkopar,1003,8923,ELASTIC WAIST BAND CHINO SHORTS,APP 002,North,Topwear,Tshirt,Woven,A1,A2,GREEN,30,1,1799,192.76,1606.24,1799
Eomm,04-02-2025 10:43,01-Apr-25,1233,LS-Sparkle One Mall of Asia-BLR,1004,8924,ELASTIC WAIST BAND CHINO SHORTS,APP 003,North,Topwear,Tshirt,Woven,A1,A2,BEIGE,32,1,1799,192.76,1606.24,1799
Eomm,04-02-2025 10:43,01-Apr-25,1234,RMZ Gallaria-Bangalore-LS,1005,8925,CARGO SHORTS,APP 004,North,Topwear,Tshirt,Woven,A1,A2,BLACK,34,1,2199,235.6,1963.4,2199
Eomm,04-02-2025 10:43,01-Apr-25,1235,LS-City One Mall-Pune,1006,8926,CHINO SHORTS,APP 005,North,Topwear,Tshirt,Woven,A1,A2,WHITE,36,1,1699,182.04,1516.96,1699
Eomm,04-02-2025 10:43,01-Apr-25,1236,Mantri - Bangalore,1007,8927,SHORTS,APP 006,North,Topwear,Tshirt,Woven,A1,A2,NAVY,32,1,1799,192.76,1606.24,1799
Eomm,04-02-2025 10:43,01-Apr-25,1237,Mantri - Bangalore,1008,8928,SHORTS,APP 007,North,Topwear,Tshirt,Woven,A1,A2,GREY,32,1,1799,192.76,1606.24,1799
Eomm,04-02-2025 10:43,01-Apr-25,1238,Mantri - Bangalore,1009,8929,GEO PRINTED CHINO SHORTS,APP 008,North,Topwear,Tshirt,Woven,A1,A2,GREEN,32,1,1799,192.76,1606.24,1799
Lifestyle,04-02-2025 10:43,01-Apr-25,1239,LS-The Forum Thomsun Mall-Ernakulam,1010,8930,PELICAN  PRINTED CHINO SHORTS,APP 009,North,Topwear,Tshirt,Woven,A1,A2,BLUE,32,1,1799,192.76,1606.24,1799
Lifestyle,04-02-2025 10:43,01-Apr-25,1240,LS DLF Mall-Noida,1011,8931,CARGO SHORTS,APP 010,North,Topwear,Tshirt,Woven,A1,A2,BROWN,30,1,2199,235.6,1963.4,2199
Lifestyle,04-02-2025 10:43,01-Apr-25,1241,LS DLF Mall-Noida,1012,8932,CARGO SHORTS,APP 001,North,Topwear,Tshirt,Woven,A1,A2,BLACK,30,1,2199,235.6,1963.4,2199
Lifestyle,04-02-2025 10:43,01-Apr-25,1242,LS-Prestige Shantinketan-Bangalore,1013,8933,OVERDYED CARGO SHORTS,APP 002,North,Topwear,Tshirt,Woven,A1,A2,GREY,34,1,2299,246.32,2052.68,2299
Lifestyle,04-02-2025 10:43,01-Apr-25,1243,METROPOLIS MALL GURGAON,1014,8934,SHORTS,APP 003,North,Topwear,Tshirt,Woven,A1,A2,GREY,34,1,1799,192.76,1606.24,1799
Lifestyle,04-02-2025 10:43,01-Apr-25,1244,METROPOLIS MALL GURGAON,1015,8935,PELICAN  PRINTED CHINO SHORTS,APP 004,North,Topwear,Tshirt,Woven,A1,A2,LIGHT BLUE,34,1,1799,192.76,1606.24,1799
Lifestyle,04-02-2025 10:43,01-Apr-25,1245,Citi Centre- Rohini,1016,8936,HALF SLEEVE PRINTED SLUB VISCOSE SHIRT,APP 005,North,Topwear,Shirt,Printed,A1,A2,GREEN,L,1,1799,192.76,1606.24,1799
Lifestyle,04-02-2025 10:43,01-Apr-25,1246,Pacific Dehradun,1017,8937,GEO PRINTED CHINO SHORTS,APP 006,North,Topwear,Tshirt,Woven,A1,A2,GREEN,32,1,1799,192.76,1606.24,1799
Lifestyle,04-02-2025 10:43,01-Apr-25,1247,LS-City Centre-Patna,1018,8938,GEO PRINTED CHINO SHORTS,APP 007,North,Topwear,Tshirt,Woven,A1,A2,WHITE,32,1,1799,192.76,1606.24,1799
Centro,04-02-2025 10:43,01-Apr-25,1248,LS-Phoenix Marketcity-Lucknow,1019,8939,ELASTIC WAIST BAND CHINO SHORTS,APP 008,North,Topwear,Tshirt,Woven,A1,A2,BEIGE,36,1,1799,192.76,1606.24,1799
Centro,04-02-2025 10:43,01-Apr-25,1249,MBD Neopolis - Ludhiana,1020,8940,CHINO SHORTS,APP 009,North,Topwear,Tshirt,Woven,A1,A2,WHITE,34,1,1699,182.04,1516.96,1699
Centro,04-02-2025 10:43,01-Apr-25,1250,LS-PMC-Indore,1021,8941,ELASTIC WAIST BAND CHINO SHORTS,APP 010,North,Topwear,Tshirt,Woven,A1,A2,WHITE,30,1,1799,192.76,1606.24,1799
Centro,04-02-2025 10:43,01-Apr-25,1251,Z Square - Kanpur,1022,8942,CHINO SHORTS,APP 001,North,Topwear,Tshirt,Woven,A1,A2,BEIGE,32,1,1529.1,163.84,1365.26,1699
Centro,04-02-2025 10:43,01-Apr-25,1252,Ls Mum Market City-Kurla,1023,8943,ELASTIC WAIST BAND CHINO SHORTS,APP 002,North,Topwear,Tshirt,Woven,A1,A2,BEIGE,32,1,1799,192.76,1606.24,1799
Centro,04-02-2025 10:43,01-Apr-25,1253,Adarsh - Bangalore,1024,8944,PELICAN  PRINTED CHINO SHORTS,APP 003,North,Topwear,Tshirt,Woven,A1,A2,LIGHT BLUE,30,1,1786.76,191.44,1595.32,1799
Centro,04-02-2025 10:43,01-Apr-25,1254,Adarsh - Bangalore,1025,8945,ELASTIC WAIST BAND CHINO SHORTS,APP 004,North,Topwear,Tshirt,Woven,A1,A2,GREEN,36,1,1799,192.76,1606.24,1799
Centro,04-02-2025 10:43,01-Apr-25,1255,Inorbit - Cyberabad,1026,8946,ELASTIC WAIST BAND CHINO SHORTS,APP 005,North,Topwear,Tshirt,Woven,A1,A2,BEIGE,34,1,1799,192.76,1606.24,1799
Centro,04-02-2025 10:43,01-Apr-25,1256,Pacific - Khayala,1027,8947,OVERDYED CARGO SHORTS,APP 006,North,Topwear,Tshirt,Woven,A1,A2,BROWN,32,1,2277.15,243.98,2033.17,2299
mbo,04-02-2025 10:43,01-Apr-25,1257,LS-Gaur City Mall-Noida,1028,8948,ELASTIC WAIST BAND CHINO SHORTS,APP 007,North,Topwear,Tshirt,Woven,A1,A2,GREEN,34,2,3598,385.52,3212.48,3598
mbo,04-02-2025 10:43,01-Apr-25,1258,LS-Gaur City Mall-Noida,1029,8949,HALF SLEEVE PRINTED SLUB VISCOSE SHIRT,APP 008,North,Topwear,Shirt,Printed,A1,A2,WHITE,S,1,1619.1,173.48,1445.62,1799
mbo,04-02-2025 10:43,01-Apr-25,1259,LS-Gaur City Mall-Noida,1030,8950,COTTON LYCRA CARGO PANT,APP 009,North,Bottomwear,Pant,5 Pocket,A1,A2,GREEN,34,1,3199,342.76,2856.24,3199
mbo,04-02-2025 10:43,01-Apr-25,1260,Brook Field - Cbt,1031,8951,ELASTIC WAIST BAND CHINO SHORTS,APP 010,North,Topwear,Tshirt,Woven,A1,A2,BEIGE,32,1,1799,192.76,1606.24,1799
mbo,04-02-2025 10:43,01-Apr-25,1261,Brook Field - Cbt,1032,8952,ELASTIC WAIST BAND CHINO SHORTS,APP 001,North,Topwear,Tshirt,Woven,A1,A2,BEIGE,36,1,1799,192.76,1606.24,1799
mbo,04-02-2025 10:43,01-Apr-25,1262,LS Cosmos Mall Agra,1033,8953,CHINO SHORTS,APP 002,North,Topwear,Tshirt,Woven,A1,A2,GREEN,32,1,1699,182.04,1516.96,1699
mbo,04-02-2025 10:43,01-Mar-25,1263,Adarsh - Bangalore,1034,8954,GEO PRINTED CHINO SHORTS,APP 003,North,Topwear,Tshirt,Woven,A1,A2,GREEN,30,1,1786.76,191.44,1595.32,1799
